cliente;linha_origem;categoria;material;marca;codigo;pagina_catalogo;acabamento;aplicacao;quantidade;unidade;temperatura_led;distribuicao_led;observacoes;texto_original
GOIANA EXPRESSO;101;tinta;CAPIM DOURADO;;;;;PADARIA/PAES ESPECIAIS;;;;[];;PADARIA/PAES ESPECIAIS: CAPIM DOURADO
GOIANA EXPRESSO;102;tinta;CAPIM DOURADO;;;;;ADEGAS VINHOS E DESTILADOS;;;;[];;ADEGAS VINHOS E DESTILADOS: CAPIM DOURADO
GOIANA EXPRESSO;103;tinta;GRAMA MOLHADA;;P628;;;HORTIFRUTI;;;;[];;HORTIFRUTI: GRAMA MOLHADA COD P628
GOIANA EXPRESSO;104;tinta;POR DO SOL;;R266;;;FRUTAS, LEGUMES E VERDURAS;;;;[];;FRUTAS, LEGUMES E VERDURAS: POR DO SOL COD R266
GOIANA EXPRESSO;105;tinta;NANQUIM;;E161;;;BEBIDAS;;;;[];;BEBIDAS: NANQUIM COD E161
GOIANA EXPRESSO;106;tinta;MAPA MUNDI;;R067;;;TEM SEMPRE UMA OPÇÃO REFRESCANTE;;;;[];;TEM SEMPRE UMA OPÇÃO REFRESCANTE: MAPA MUNDI COD R067
GOIANA EXPRESSO;107;tinta;AZUL ROYAL;Visual;;;;ESTRUTURAS (CONGELADOS);;;;[];;ESTRUTURAS (CONGELADOS): AZUL ROYAL (Visual)
GOIANA EXPRESSO;108;tinta;ACAMPAMENTO NA SELVA;;;;;ESTRUTURAS (FRUTAS E VERDURAS);;;;[];;ESTRUTURAS (FRUTAS E VERDURAS): ACAMPAMENTO NA SELVA
GOIANA EXPRESSO;109;tinta;AZUL ROYAL;Visual;E339;;;ESTRUTURA CAIXA;;;;[];;ESTRUTURA CAIXA: AZUL ROYAL COD E339 (Visual)
GOIANA EXPRESSO;109;tinta;GIZ DE CERA;Visual;R664;;;ESTRUTURA CAIXA;;;;[];;ESTRUTURA CAIXA: GIZ DE CERA COD R664 (Visual)
GAVIÃO;114;tinta;VESTIDO DE CETIM;;;297;;"EMBUTIDOS DEFUMADOS; ADEGA SELEÇÃO; LINGUIÇAS CASEIRAS; CARNES EMBALADAS; AÇOUGUE; PADARIA; HORTIFRUTI";;;;[];;VESTIDO DE CETIM - PAG 297
GAVIÃO;115;tinta;VINHO CLASSICO;;;36;;"LATICINIOS; BEBIDAS GELADAS";;;;[];;VINHO CLASSICO - PAG 36
GAVIÃO;116;tinta;ORQUIDIA RUBI;;;35;;PEIXARIA E CONGELADOS;;;;[];Na planilha consta 'PEXARIA'.;ORQUIDIA RUBI - PAG 35
